33.1307,14,130
33.1312,3,131
33.1323,11,132
33.14,16,139
34.0113,11,11
34.02,16,19
34.0339,1,33
34.0357,7,35
34.0421,3,42
34.048,10,47
34.0516,2,51
34.0526,4,52
34.0648,13,64
34.0861,8,86
34.0973,12,97
34.1049,6,104
34.107,15,107
34.1118,18,111
34.1223,5,122
34.1229,14,122
34.1412,17,141
34.1467,9,146
35.0069,16,6
35.0095,3,9
35.0223,11,22
35.0268,7,26
35.0331,1,33
35.0424,17,42
35.0522,12,52
35.0535,14,53
35.0642,6,64
35.0675,2,67
35.0721,5,72
35.0793,10,79
35.1149,15,114
35.1183,4,118
35.1329,8,132
35.142,9,141
35.1456,18,145
35.1492,13,149
36.0123,4,12
36.0154,11,15
36.0204,6,20
36.0286,1,28
36.0376,3,37
36.0397,17,39
36.0507,7,50
36.0569,9,56
36.0636,14,63
36.072,5,72
36.0946,10,94
36.1011,13,101
36.1039,15,103
36.1107,18,110
36.1206,12,120
36.1318,2,131
36.1478,8,147
36.1485,16,148
37.0028,2,2
37.0184,3,18
37.0451,13,45
37.0551,17,55
37.0565,16,56
37.0683,5,68
37.0698,4,69
37.0837,6,83
37.0867,12,86
37.0936,8,93
37.1187,10,118
37.1208,14,120
37.1298,1,129
37.1313,11,131
37.1324,9,132
37.1462,7,146
37.1469,18,146
37.1492,15,149
38.0029,3,2
38.0086,10,8
38.0191,6,19
38.027,14,27
38.0546,18,54
38.0653,11,65
38.0706,17,70
38.0797,8,79
38.0806,4,80
38.0949,16,94
38.0993,2,99
38.1109,7,110
38.1182,13,118
38.1193,9,119
38.1217,1,121
38.1249,5,124
38.1258,12,125
38.1322,15,132
39.0189,6,18
39.0295,3,29
39.0622,8,62
39.0641,9,64
39.0697,14,69
39.075,12,74
39.0784,1,78
39.0785,4,78
39.0833,15,83
39.094,11,93
39.0945,13,94
39.0958,5,95
39.1011,2,101
39.1067,17,106
39.1212,16,121
39.1233,18,123
39.1306,7,130
39.1347,10,134
40.0239,15,23
40.0274,4,27
40.0277,17,27
40.0331,8,33
40.0337,1,33
40.0366,14,36
40.0382,13,38
40.0662,7,66
40.0833,11,83
40.0896,16,89
40.0974,12,97
40.1094,10,109
40.1125,2,112
40.1145,3,114
40.1151,5,115
40.1226,9,122
40.1286,6,128
40.1387,18,138
41.0109,14,10
41.024,18,24
41.0257,7,25
41.0281,2,28
41.0349,3,34
41.0403,4,40
41.066,16,66
41.0706,9,70
41.0736,6,73
41.0911,13,91
41.1009,8,100
41.1247,12,124
41.1256,17,125
41.1277,15,127
41.1295,10,129
41.1312,1,131
41.1378,5,137
41.1395,11,139
42.0199,18,19
42.031,14,31
42.0378,12,37
42.0388,15,38
42.0463,4,46
42.0481,6,48
42.0603,7,60
42.061,13,61
42.062,1,62
42.0693,16,69
42.0786,5,78
42.0933,9,93
42.0984,10,98
42.1036,17,103
42.1087,3,108
42.1203,2,120
42.1435,11,143
42.1454,8,145
43.0072,1,7
43.0197,2,19
43.0201,8,20
43.0234,9,23
43.0273,17,27
43.0332,3,33
43.0461,18,46
43.0664,11,66
43.0684,7,68
43.0732,16,73
43.0749,10,74
43.092,4,91
43.097,14,97
43.112,13,112
43.1389,15,138
43.1402,5,140
43.1436,12,143
43.1483,6,148
44.011,7,11
44.0153,12,15
44.0206,13,20
44.0255,1,25
44.0357,9,35
44.0486,6,48
44.0573,4,57
44.0596,11,59
44.066,2,65
44.0729,17,72
44.0793,5,79
44.0862,8,86
44.0954,18,95
44.099,3,98
44.1071,16,107
44.1264,15,126
44.1357,10,135
44.1414,14,141
45.0116,10,11
45.0185,7,18
45.0233,12,23
45.0242,4,24
45.0302,13,30
45.0303,17,30
45.0399,1,39
45.0469,11,46
45.0655,15,65
45.0759,6,75
45.0823,9,82
45.1089,8,108
45.1155,14,115
45.1276,5,127
45.1361,18,136
45.137,2,137
45.1396,3,139
45.1413,16,141
46.0081,6,8
46.02,10,20
46.0264,8,26
46.0266,5,26
46.0282,12,28
46.0303,1,30
46.0323,16,32
46.0393,17,39
46.046,13,46
46.0485,7,48
46.0548,11,54
46.0649,2,64
46.0876,4,87
46.0941,9,94
46.1212,18,121
46.1226,3,122
46.1233,14,123
46.1322,15,132
47.0145,18,14
47.0158,14,15
47.0331,5,33
47.0336,3,33
47.0419,11,41
47.0425,12,42
47.0517,16,51
47.0556,17,55
47.06,8,59
47.0648,9,64
47.0699,15,69
47.0869,1,86
47.0894,2,89
47.0895,6,89
47.1003,13,100
47.1158,4,115
47.1185,10,118
47.1456,7,145
48.0066,6,6
48.0114,7,11
48.0173,14,17
48.023,4,23
48.0231,3,23
48.0296,2,29
48.0375,11,37
48.0408,17,40
48.0643,8,64
48.0664,12,66
48.0765,9,76
48.0783,18,78
48.108,1,107
48.118,13,117
48.126,10,125
48.1445,5,144
48.1477,15,147
48.1509,16,150
49.0264,3,26
49.027,18,26
49.0283,16,28
49.0328,8,32
49.048,14,47
49.0666,10,66
49.0678,2,67
49.0748,7,74
49.0878,5,87
49.0973,17,97
49.0992,11,99
49.1207,13,120
49.1332,15,133
49.1351,9,135
